file_path,filename,device_family,device_id,state,distance_label,probe_id,domain,channel_mode,channels,start_time,increment_sec,sample_count,is_duplicate,quality_flags
Motor_Data/MOTOR_1_ON/time domain/NewFile1.csv,NewFile1.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile10.csv,NewFile10.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile11.csv,NewFile11.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile12.csv,NewFile12.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile13.csv,NewFile13.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile14.csv,NewFile14.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile15.csv,NewFile15.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile16.csv,NewFile16.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile17.csv,NewFile17.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile18.csv,NewFile18.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile19.csv,NewFile19.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile2.csv,NewFile2.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile20.csv,NewFile20.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile21.csv,NewFile21.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile22.csv,NewFile22.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile23.csv,NewFile23.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile24.csv,NewFile24.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile25.csv,NewFile25.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile26.csv,NewFile26.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile27.csv,NewFile27.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile28.csv,NewFile28.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile29.csv,NewFile29.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile3.csv,NewFile3.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile30.csv,NewFile30.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile31.csv,NewFile31.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile32.csv,NewFile32.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile33.csv,NewFile33.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile34.csv,NewFile34.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile35.csv,NewFile35.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile36.csv,NewFile36.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile37.csv,NewFile37.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile38.csv,NewFile38.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
Motor_Data/MOTOR_1_ON/time domain/NewFile39.csv,NewFile39.csv,motor,motor_1,on,unknown,default,time,single_ch2,CH2,-0.03,5e-05,1200,False,ok
